prognosticator_slug,prognosticator_name,location,prognosticator_type,prognosticator_status,prognosticator_creature,prognosticator_phylum,prognosticator_class,prognosticator_order
Allen-McButterpants,Allen McButterpants,"Hampton Bays, NY",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Arboretum-Annie,Arboretum Annie,"Dallas, TX",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Athene,Athene,"Cape Coral, FL",Burrowing owl mascot,Inanimate,Owl,Chordata,Aves,Strigiformes
Babe,Babe,"Indianapolis, IN",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Babylon-Belle,Babylon Belle,"Babylon, NY",Groundhog Mascot,Human Mascot,Groundhog,Chordata,Mammalia,Rodentia
Balzac-Billy,Balzac Billy,"Balzac, AB",Gopher mascot,Human Mascot,Gopher,Chordata,Mammalia,Rodentia
Beans,Beans,"Buda, TX",Dachshund,Creature,Dog,Chordata,Mammalia,Carnivora
Beardsley-Bart,Beardsley Bart,"Bridgeport, CT",Stuffed Prairie Dog,Inanimate,Prairie Dog,Chordata,Mammalia,Rodentia
Bee-Cave-Bob,Bee Cave Bob,"Bee Cave, TX",Armadillo,Creature,Armadillo,Chordata,Mammalia,Cingulata
Benny-the-Bass,Benny the Bass,"Buckeye Lake, OH",Bass,Creature,Bass,Chordata,Actinopterygii,Perciformes
Big-Al,Big Al,"Beaumont, TX",Alligator,Creature,Alligator,Chordata,Reptilia,Crocodilia
Big-Tex,Big Tex,"Beaumont, TX",Alligator,Creature,Alligator,Chordata,Reptilia,Crocodilia
Birmingham-owl,Birmingham Bilbo,"Birmingham, AL",Owl,Creature,Owl,Chordata,Aves,Strigiformes
Birmingham-Bill,Birmingham Bill,"Birmingham, AL",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Birmingham-Jill,Birmingham Jill,"Birmingham, AL",Opossum,Creature,Opossum,Chordata,Mammalia,Didelphimorphia
Biscuit-the-Packrat,Biscuit the Packrat,"Medicine Park, OK",Southern Plains Woodrat,Creature,Woodrat,Chordata,Mammalia,Rodentia
Bitterroot-Bill,Bitterroot Bill,"Stevensville, MT",Stuffed yellow-bellied marmot,Inanimate,Marmot,Chordata,Mammalia,Rodentia
